comments,keywords
: 尺哥好強==,"[':', ' ', '尺哥', '好強', '=', '=']"
: 牙膏太搓了,"[':', ' ', '牙膏', '太', '搓', '了']"
: 悠五再攻三小,"[':', ' ', '悠五再', '攻三小']"
: 尺帝是子彈耗完不是切錯 = =,"[':', ' ', '尺帝', '是', '子', '彈耗', '完', '不是', '切錯', ' ', '=', ' ', '=']"
: 牙膏超爛的 直接魑魅或原地開大 還閃現送隊友煙花,"[':', ' ', '牙膏', '超爛', '的', ' ', '直接', '魑魅', '或', '原地', '開大', ' ', '還閃現', '送隊', '友煙花']"
: 牙膏超爛,"[':', ' ', '牙膏', '超爛']"
: 炸爛,"[':', ' ', '炸爛']"
: 溝通爛死了 一堆人想搶頭,"[':', ' ', '溝通爛', '死', '了', ' ', '一堆', '人想', '搶頭']"
: 牙膏超戳，大忙得超爛,"[':', ' ', '牙膏', '超', '戳', '，', '大忙', '得', '超爛']"
: 左手狐狸太扯了吧,"[':', ' ', '左手', '狐狸', '太扯', '了', '吧']"
: 看AV是欠了多少錢被這樣針對,"[':', ' ', '看', 'AV', '是', '欠', '了', '多少', '錢', '被', '這樣', '針對']"
: 切三小槍,"[':', ' ', '切三小槍']"
